[Objective_value_file]
report.type: objective_function
obs->cpue_ll_jpn_226: 38806.7
obs->cpue_ll_jpn_227: 36213.6
obs->cpue_ll_jpn_228: 31433.4
obs->cpue_ll_jpn_229: 34685.8
obs->cpue_ll_jpn_230: 36192.8
obs->cpue_ll_jpn_231: 32710.5
obs->cpue_ll_jpn_232: 24144.7
obs->cpue_ll_jpn_233: 32105.7
obs->cpue_ll_jpn_234: 23869.3
obs->cpue_ll_jpn_235: 16288.1
obs->cpue_ll_jpn_236: 18389.9
obs->cpue_ll_jpn_237: 13585.6
obs->cpue_ll_jpn_238: 10044.9
obs->cpue_ll_jpn_239: 7180.16
obs->cpue_ll_jpn_240: 9575.8
obs->cpue_ll_jpn_241: 16383.5
obs->cpue_ll_jpn_242: 15076.1
obs->cpue_ll_jpn_243: 20589.6
obs->cpue_ll_jpn_244: 17759.1
obs->cpue_ll_jpn_245: 22639.6
obs->cpue_ll_jpn_246: 17877.9
obs->cpue_ll_jpn_247: 8845.96
obs->cpue_ll_jpn_248: 12090.3
obs->cpue_ll_jpn_249: 20644.6
obs->cpue_ll_jpn_250: 10450.3
obs->cpue_ll_jpn_251: 14757.6
obs->cpue_ll_jpn_252: 11459.3
obs->cpue_ll_jpn_253: 18569.9
obs->cpue_ll_jpn_254: 10986.5
obs->cpue_ll_jpn_255: 11535
obs->cpue_ll_jpn_256: 13506.4
obs->lf_ps_121: 48940.7
obs->lf_ps_122: 5817.45
obs->lf_ps_124: 22034.9
obs->lf_ps_125: 322283
obs->lf_ps_126: 182213
obs->lf_ps_127: nan
obs->af_ps_127: nan
obs->lf_ps_128: 193785
obs->lf_ps_129: 423488
obs->lf_ps_130: nan
obs->lf_ps_131: nan
obs->lf_ps_132: nan
obs->lf_ps_133: nan
obs->lf_ps_134: nan
obs->lf_ps_135: nan
obs->lf_ps_136: nan
obs->lf_ps_137: 1.01392e+06
obs->lf_ps_138: 1.0008e+06
obs->lf_ps_139: nan
obs->lf_ps_140: nan
obs->lf_ps_141: 634504
obs->lf_ps_142: 1.15858e+06
obs->lf_ps_143: nan
obs->lf_ps_144: nan
obs->lf_ps_145: 686141
obs->lf_ps_146: nan
obs->lf_ps_147: nan
obs->lf_ps_148: nan
obs->lf_ps_149: 1.35298e+06
obs->lf_ps_150: 2.09991e+06
obs->lf_ps_151: nan
obs->lf_ps_152: nan
obs->lf_ps_153: nan
obs->lf_ps_154: nan
obs->lf_ps_155: nan
obs->lf_ps_156: nan
obs->lf_ps_157: 731030
obs->lf_ps_158: nan
obs->lf_ps_159: nan
obs->lf_ps_160: 2.35633e+06
obs->lf_ps_161: nan
obs->lf_ps_162: nan
obs->lf_ps_163: nan
obs->lf_ps_164: nan
obs->lf_ps_165: 909963
obs->lf_ps_166: nan
obs->lf_ps_167: nan
obs->lf_ps_168: nan
obs->lf_ps_169: 1.14749e+06
obs->lf_ps_170: nan
obs->lf_ps_171: nan
obs->lf_ps_172: nan
obs->lf_ps_173: nan
obs->lf_ps_174: nan
obs->lf_ps_175: nan
obs->lf_ps_176: nan
obs->lf_ps_177: nan
obs->lf_ps_178: nan
obs->lf_ps_179: nan
obs->lf_ps_180: nan
obs->lf_ps_181: nan
obs->lf_ps_182: nan
obs->lf_ps_183: nan
obs->lf_ps_184: nan
obs->lf_ps_185: nan
obs->lf_ps_186: nan
obs->lf_ps_187: nan
obs->lf_ps_188: nan
obs->lf_ps_189: nan
obs->lf_ps_190: nan
obs->lf_ps_191: nan
obs->lf_ps_192: nan
obs->lf_ps_193: nan
obs->lf_ps_194: nan
obs->lf_ps_195: nan
obs->lf_ps_196: nan
obs->lf_ps_197: nan
obs->lf_ps_198: nan
obs->lf_ps_199: nan
obs->lf_ps_200: nan
obs->lf_ps_201: nan
obs->lf_ps_202: nan
obs->lf_ps_203: nan
obs->lf_ps_204: nan
obs->lf_ps_205: nan
obs->lf_ps_206: nan
obs->lf_ps_207: nan
obs->lf_ps_208: nan
obs->lf_ps_209: nan
obs->lf_ps_210: nan
obs->lf_ps_211: nan
obs->lf_ps_212: nan
obs->lf_ps_213: nan
obs->lf_ps_214: nan
obs->lf_ps_215: nan
obs->lf_ps_216: nan
obs->lf_ps_217: nan
obs->lf_ps_218: nan
obs->lf_ps_219: nan
obs->lf_ps_220: nan
obs->lf_ps_221: nan
obs->lf_ps_222: nan
obs->lf_ps_223: nan
obs->lf_ps_224: nan
obs->lf_ps_225: nan
obs->lf_ps_226: nan
obs->lf_ps_227: nan
obs->lf_ps_228: nan
obs->lf_ps_229: nan
obs->lf_ps_230: nan
obs->lf_ps_231: nan
obs->lf_ps_232: nan
obs->lf_ps_233: nan
obs->lf_ps_234: nan
obs->lf_ps_235: nan
obs->lf_ps_236: nan
obs->lf_ps_237: nan
obs->lf_ps_238: nan
obs->lf_ps_239: nan
obs->lf_ps_240: nan
obs->lf_ps_241: nan
obs->lf_ps_242: nan
obs->lf_ps_243: nan
obs->lf_ps_244: nan
obs->lf_ps_245: nan
obs->lf_ps_246: nan
obs->lf_ps_247: nan
obs->lf_ps_248: nan
obs->lf_ps_249: nan
obs->lf_ps_250: nan
obs->lf_ps_251: nan
obs->lf_ps_252: nan
obs->lf_ps_253: nan
obs->lf_ps_254: nan
obs->lf_ps_255: nan
obs->lf_ps_256: nan
obs->lf_trol_134: 238.082
obs->lf_trol_135: 495.303
obs->lf_trol_136: 1768.16
obs->lf_trol_137: 987.406
obs->lf_trol_138: 440.951
obs->lf_trol_142: 1063.13
obs->lf_trol_145: 845.045
obs->lf_trol_146: 964.117
obs->lf_trol_147: 1999.96
obs->lf_trol_148: 2580.36
obs->lf_trol_149: 834.823
obs->lf_trol_151: 886.597
obs->lf_trol_152: 1268.23
obs->lf_trol_153: 799.544
obs->lf_trol_154: 972.161
obs->lf_trol_155: 1277.72
obs->lf_trol_156: 538.527
obs->lf_trol_255: 11.1743
obs->lf_bb_125: 60.5895
obs->lf_bb_126: 143.551
obs->lf_bb_127: 527.464
obs->lf_bb_129: 134.196
obs->lf_bb_130: 235.105
obs->lf_bb_131: 138.659
obs->lf_bb_135: 128.667
obs->lf_bb_136: 118.525
obs->lf_bb_137: 137.802
obs->lf_bb_138: 103.964
obs->lf_bb_139: 107.32
obs->lf_bb_140: 213.221
obs->lf_bb_141: 125.468
obs->lf_bb_142: 42.9154
obs->lf_bb_143: 90.1918
obs->lf_bb_144: 74.1994
obs->lf_bb_145: 154.218
obs->lf_bb_146: 83.2759
